Subject,Start Date,Start Time,End Date,End Time,All day event,Description,Location
Kiruna AIF - Piteå,01/12/2022,19:00 PM,01/12/2022,21:30 PM,FALSE,,,
Piteå - Surahammar,01/15/2022,16:00 PM,01/15/2022,18:30 PM,FALSE,,,
Piteå - Forshaga,01/16/2022,15:00 PM,01/16/2022,17:30 PM,FALSE,,,
Piteå - Kalix,01/19/2022,19:00 PM,01/19/2022,21:30 PM,FALSE,,,
Strömsbro - Piteå,01/22/2022,16:00 PM,01/22/2022,18:30 PM,FALSE,,,
Borlänge - Piteå,01/23/2022,15:00 PM,01/23/2022,17:30 PM,FALSE,,,
Östersund - Piteå,01/29/2022,16:00 PM,01/29/2022,18:30 PM,FALSE,,,
Hudiksvall - Piteå,01/30/2022,15:00 PM,01/30/2022,17:30 PM,FALSE,,,
Piteå - Kiruna AIF,02/05/2022,16:00 PM,02/05/2022,18:30 PM,FALSE,,,
Piteå - Kalix,02/09/2022,19:00 PM,02/09/2022,21:30 PM,FALSE,,,
Surahammar - Piteå,02/12/2022,16:00 PM,02/12/2022,18:30 PM,FALSE,,,
Forshaga - Piteå,02/13/2022,15:00 PM,02/13/2022,17:30 PM,FALSE,,,
Kalix - Piteå,02/16/2022,19:00 PM,02/16/2022,21:30 PM,FALSE,,,
Piteå - Strömsbro,02/19/2022,16:00 PM,02/19/2022,18:30 PM,FALSE,,,
Piteå - Borlänge,02/20/2022,15:00 PM,02/20/2022,17:30 PM,FALSE,,,
Piteå - Östersund,02/26/2022,16:00 PM,02/26/2022,18:30 PM,FALSE,,,
Piteå - Hudiksvall,02/27/2022,16:00 PM,02/27/2022,18:30 PM,FALSE,,,
Boden - Piteå,03/02/2022,19:00 PM,03/02/2022,21:30 PM,FALSE,,,
